Rank,Title,Band,Country,Year,Compilation,Live,YearRank,DecadeRank,OverallRank,RankScore,AvgRating,NumRatings,AlbumID
108,Ultraviolence,Lana Del Rey,us,2014,No,No,9,108,759,2524,74.52973175,408,61760
109,They Want My Soul,Spoon,us,2014,No,No,10,109,763,2515,78.831787109,429,61775
110,Suck It And See,Arctic Monkeys,uk,2011,No,No,14,110,766,2502,73.60446167,775,16136
111,Ceremonials,Florence  The Machine,uk,2011,No,No,15,111,770,2468,74.74671936,403,19569
112,Blunderbuss,Jack White,us,2012,No,No,13,112,782,2424,76.991241455,733,23833
113,Little Dark Age,MGMT,us,2018,No,No,7,113,786,2404,79.559463501,674,129036
114,Exmilitary,Death Grips,us,2011,No,No,16,114,790,2392,80.34627533,411,17635
115,Golden Hour,Kacey Musgraves,us,2018,No,No,8,115,795,2367,76.494262695,316,132058
116,Divers,Joanna Newsom,us,2015,No,No,14,116,802,2340,81.304504395,323,88303
117,Alvvays,Alvvays,ca,2014,No,No,11,117,803,2338,78.465270996,296,60451
118,LP1,FKA Twigs,uk,2014,No,No,12,118,810,2316,75.893180847,460,63947
119,We Are The 21st Century Ambassadors Of Peace And Magic,Foxygen,us,2013,No,No,12,119,812,2312,76.315368652,500,35450
120,Take Care,Drake,ca,2011,No,No,17,120,814,2310,70.867958069,364,19923
121,Push The Sky Away,Nick Cave +ACY- The Bad Seeds,au,2013,No,No,13,121,818,2303,78.344352722,390,36536
122,Saturation III,Brockhampton,us,2017,No,No,11,122,824,2288,82.885978699,391,126748
123,Tranquility Base Hotel +ACY- Casino,Arctic Monkeys,uk,2018,No,No,9,123,826,2282,71.963096619,603,133702
124,Loud City Song,Julia Holter,us,2013,No,No,14,124,832,2268,78.144927979,317,45141
125,Weezer (The White Album),Weezer,us,2016,No,No,15,125,841,2242,77.525596619,492,96274
126,Malibu,Anderson .Paak,us,2016,No,No,16,126,843,2241,79.380722046,465,92476
127,The Raven That Refused To Sing (And Other Stories),Steven Wilson,uk,2013,No,No,15,127,851,2219,78.686782837,312,35751
128,Torches,Foster The People,us,2011,No,No,18,128,852,2215,71.548126221,509,16037
129,You're Dead+ACE-,Flying Lotus,us,2014,No,No,13,129,868,2159,79.331733704,414,68119
130,Some Rap Songs,Earl Sweatshirt,us,2018,No,No,10,130,873,2148,78.705749512,302,142782
131,Saturation II,Brockhampton,us,2017,No,No,12,131,878,2139,81.99671936,410,121720
132,Amok,Atoms For Peace,un,2013,No,No,16,132,889,2110,74.941543579,554,37028
133,Pom Pom,Ariel Pink,us,2014,No,No,14,133,906,2069,78.117454529,308,69152
134,This Is All Yours,alt+AC0-J,uk,2014,No,No,15,134,910,2067,72.525978088,486,66880
135,The 2nd Law,Muse,uk,2012,No,No,14,135,918,2056,64.054428101,664,28782
136,Attack On Memory,Cloud Nothings,us,2012,No,No,15,136,921,2050,75.964035034,455,21793
137,Ctrl,SZA,us,2017,No,No,13,137,930,2026,77.508979797,291,117007
138,The Next Day,David Bowie,uk,2013,No,No,17,138,932,2025,76.945075989,665,37508
139,Royal Blood,Royal Blood,uk,2014,No,No,16,139,936,2021,75.52066803,366,66146
140,Angles,The Strokes,us,2011,No,No,19,140,938,2018,72.057769775,795,14916
141,Psychic,Darkside,un,2013,No,No,18,141,958,1971,77.672050476,301,48157
142,Schlagenheim,Black Midi,uk,2019,No,No,5,142,963,1966,79.229454041,313,155407
143,Antisocialites,Alvvays,ca,2017,No,No,14,143,968,1957,79.621452332,304,117526
144,+ACI-When We All Fall Asleep, Where Do We Go?+ACI-,Billie Eilish,us,2019,No,No,6,144,973,1943,74.995132446,485,147423
145,MASSEDUCTION,St. Vincent,us,2017,No,No,15,145,979,1932,78.182929993,341,122158
146,Burst Apart,The Antlers,us,2011,No,No,20,146,981,1926,77.774406433,365,15576
147,House Of Balloons,The Weeknd,ca,2011,No,No,21,147,990,1901,77.882225037,329,15240
148,Morning Phase,Beck,us,2014,No,No,17,148,994,1895,75.155342102,494,55577
149,The Monitor,Titus Andronicus,us,2010,No,No,17,149,1000,1875,78.065979004,282,9497
150,Celebration Rock,Japandroids,ca,2012,No,No,16,150,1005,1863,74.808059692,399,25006
151,Melophobia,Cage The Elephant,us,2013,No,No,19,151,1008,1860,77.8539505,280,48126
152,Be The Cowboy,Mitski,un,2018,No,No,11,152,1013,1857,77.685966492,304,135503
153,Daytona,Pusha T,us,2018,No,No,12,153,1035,1813,79.082275391,483,136043
154,Dirty Computer,Janelle Monae,us,2018,No,No,13,154,1054,1771,77.388694763,398,132203
155,A Brief Inquiry Into Online Relationships,The 1975,uk,2018,No,No,14,155,1064,1764,75.140159607,229,142703
156,Yuck,Yuck,uk,2011,No,No,22,156,1089,1724,74.979919434,363,13964
157,Twin Fantasy (Mirror To Mirror),Car Seat Headrest,us,2011,No,No,23,157,1090,1721,80.614517212,218,43719
158,Syro,Aphex Twin,uk,2014,No,No,18,158,1092,1714,77.412620544,367,66891
159,Rodeo,Travis Scott,us,2015,No,No,15,159,1096,1707,81.002952576,219,86183
160,A Seat At The Table,Solange,us,2016,No,No,17,160,1101,1696,78.407089233,257,103600
161,Southeastern,Jason Isbell,us,2013,No,No,20,161,1103,1692,77.089431763,157,42399
162,The Magic Whip,Blur,uk,2015,No,No,16,162,1107,1683,75.922348022,545,76264
163,Wildflower,The Avalanches,au,2016,No,No,18,163,1110,1677,76.039825439,363,98612
164,+ACI-Father, Son, Holy Ghost+ACI-,Girls,us,2011,No,No,24,164,1116,1665,77.280517578,340,18480
165,No Shape,Perfume Genius,us,2017,No,No,16,165,1119,1655,78.580955505,273,113377
166,Comedown Machine,The Strokes,us,2013,No,No,21,166,1122,1650,71.543899536,562,38497
167,Bottomless Pit,Death Grips,us,2016,No,No,19,167,1134,1632,80.757041931,379,97344
168,Vessel,Twenty One Pilots,us,2013,No,No,22,168,1150,1609,69.740898132,192,35854
169,1989,Taylor Swift,us,2014,No,No,19,169,1152,1606,64.534255981,360,69196
170,Saturation,Brockhampton,us,2017,No,No,17,170,1161,1585,80.319633484,413,116955
171,Get To Heaven,Everything Everything,uk,2015,No,No,17,171,1164,1578,77.610191345,175,81001
172,Because The Internet,Childish Gambino,us,2013,No,No,23,172,1165,1578,71.764801025,276,52032
173,Viet Cong,Viet Cong,ca,2015,No,No,18,173,1167,1574,76.448104858,385,73611
174,Sun Structures,Temples,uk,2014,No,No,20,174,1179,1555,74.5753479,345,55602
175,Swing Lo Magellan,Dirty Projectors,us,2012,No,No,17,175,1193,1530,76.294395447,252,26617
176,'Allelujah+ACE- Don't Bend+ACE- Ascend+ACE-,Godspeed You+ACE- Black Emperor,ca,2012,No,No,18,176,1194,1528,80.062767029,359,30678
177,+ACI-Ravedeath, 1972+ACI-,Tim Hecker,ca,2011,No,No,25,177,1199,1523,78.64226532,216,15242
178,The King Is Dead,The Decemberists,us,2011,No,No,26,178,1201,1522,73.904472351,344,13961
179,WORRY.,Jeff Rosenstock,us,2016,No,No,20,179,1202,1521,79.892929077,154,104118
180,TA13OO,Denzel Curry,us,2018,No,No,15,180,1208,1517,81.065971375,296,137763
181,Ghosteen,Nick Cave +ACY- The Bad Seeds,au,2019,No,No,7,181,1209,1514,79.454292297,262,159635
182,Father Of The Bride,Vampire Weekend,us,2019,No,No,8,182,1217,1506,76.056762695,449,151789
183,Wakin On A Pretty Daze,Kurt Vile,us,2013,No,No,24,183,1219,1497,78.42338562,340,39321
184,Total Life Forever,Foals,uk,2010,No,No,18,184,1224,1491,76.052009583,396,10238
185,Summertime '06,Vince Staples,us,2015,No,No,19,185,1227,1490,77.995010376,263,82904
186,The Powers That B,Death Grips,us,2015,Yes,No,20,186,1228,1489,79.721839905,311,77930
187,Run The Jewels 3,Run The Jewels,us,2016,No,No,21,187,1232,1478,81.887107849,370,106508
188,2014 Forest Hills Drive,J. Cole,us,2014,No,No,21,188,1235,1476,75.841773987,213,71836
189,Immunity,Jon Hopkins,uk,2013,No,No,25,189,1244,1458,77.406959534,237,42119
190,What Did You Expect From The Vaccines?,The Vaccines,uk,2011,No,No,27,190,1254,1442,73.736328125,352,15175
191,Beyonce,Beyonce,us,2013,No,No,26,191,1263,1435,72.077041626,301,52395
192,Aviary,Julia Holter,us,2018,No,No,16,192,1265,1431,79.284683228,177,139623
193,Broken Bells,Broken Bells,us,2010,No,No,19,193,1269,1428,74.058059692,385,9516
194,Science Fiction,Brand New,us,2017,No,No,18,194,1272,1425,79.263275146,288,121451
195,Watch The Throne,Jay+AC0-Z +ACY- Kanye West,us,2011,No,No,28,195,1276,1420,73.599098206,380,17541
196,Mylo Xyloto,Coldplay,uk,2011,No,No,29,196,1284,1413,60.415664673,694,19283
197,Turn Blue,The Black Keys,us,2014,No,No,22,197,1286,1409,71.823631287,482,60219
198,Flying Microtonal Banana,King Gizzard +ACY- The Lizard Wizard,au,2017,No,No,19,198,1305,1394,78.766433716,387,109787
199,Big Fish Theory,Vince Staples,us,2017,No,No,20,199,1310,1388,78.442230225,357,117224
200,Fear Fun,Father John Misty,us,2012,No,No,19,200,1315,1379,77.113105774,266,27832
201,Body Talk,Robyn,se,2010,Yes,No,20,201,1317,1379,75.217674255,165,12957
202,Singles,Future Islands,us,2014,No,No,23,202,1322,1375,75.594467163,233,57201
203,Doris,Earl Sweatshirt,us,2013,No,No,27,203,1323,1375,76.600875854,283,45341
204,Coloring Book,Chance The Rapper,us,2016,No,No,22,204,1325,1374,75.97063446,417,97842
205,You Want It Darker,Leonard Cohen,ca,2016,No,No,23,205,1329,1371,79.688056946,290,104373
206,Replica,Oneohtrix Point Never,us,2011,No,No,30,206,1332,1371,77.500724792,204,20054
207,Are We There,Sharon Van Etten,us,2014,No,No,24,207,1338,1366,78.441841125,251,56684
208,+ACI-I Don't Like Shit, I Don't Go Outside+ACI-,Earl Sweatshirt,us,2015,No,No,21,208,1346,1359,76.883750916,298,78048
209,The English Riviera,Metronomy,uk,2011,No,No,31,209,1347,1358,74.529251099,222,17508
210,Double Negative,Low,us,2018,No,No,17,210,1362,1333,77.420684814,179,137290
211,Virgins,Tim Hecker,ca,2013,No,No,28,211,1371,1314,79.043739319,167,46652
